filename_prefix	File	HI	Run.x	Lane	label	assay	facs	protein	read	filename_ending	Reads	Mapped	Percentage	TotalsgRNAs	Zerocounts	GiniIndex	NegSelQC	NegSelQCPval	NegSelQCPvalPermutation	NegSelQCPvalPermutationFDR	NegSelQCGene	file_name	Nanuq_project	sample_nr	library_name	Date	include	Cas_variant	FACS_group	FACS_target	replicate	virus_batch	group	batch	QC	QC_comment	sequencing_lane	nr_reads	nr_bases	beluga_raw_data	beluga_QC	% Duplicate	Barcode	Run.y	sequencing_type	multiplex_keys	DNA_Conc._(ng/ul)	Primer_used	gel_purify	PCR_comments	gini_index_QC
HI.4824.004.NGS-Lib-Rev--3.Krab_Top_CD31	/home/wueflo00/projects/rrg-glettre/sequencing_datastore/raw_data/CRISPR_Endoscreen_20180913/include_in_final_analysis/HI.4824.004.NGS-Lib-Rev--3.Krab_Top_CD31_R1.fastq.gz	HI	4824	004	NGS-Lib-Rev--3	Krab	Top	CD31	R1	fastq	60691028	36289237	0.5979	8051	5	0.06538	0	1	1	1	0	HI.4824.004.NGS-Lib-Rev--3.Krab_Top_CD31_R1.fastq.gz	Endosreen_29aout18_3screens	5	Krab_Top_CD31	2018-09-14	Y	KRAB	Top	CD31	r1	endo_1a	adhesion_molecules	0	OK		4	60,691,028	12,138,205,600	/home/wueflo00/projects/rrg-glettre/sequencing_datastore/raw_data/CRISPR_Endoscreen_20180913	/home/wueflo00/projects/rrg-glettre/sequencing_datastore/analyses/CRISPR_Endoscreen_20180913/QC	99.66	MPS12343392-G05	4824	Illumina HiSeq 4000 PE100	NGS-Lib-Rev -3	117.76	Old	N		pass
HI.4824.004.NGS-Lib-Rev--4.Krab_Bottom_CD31	/home/wueflo00/projects/rrg-glettre/sequencing_datastore/raw_data/CRISPR_Endoscreen_20180913/include_in_final_analysis/HI.4824.004.NGS-Lib-Rev--4.Krab_Bottom_CD31_R1.fastq.gz	HI	4824	004	NGS-Lib-Rev--4	Krab	Bottom	CD31	R1	fastq	67120551	38118296	0.5679	8051	7	0.06617	0	1	1	1	0	HI.4824.004.NGS-Lib-Rev--4.Krab_Bottom_CD31_R1.fastq.gz	Endosreen_29aout18_3screens	6	Krab_Bottom_CD31	2018-09-14	Y	KRAB	Bottom	CD31	r1	endo_1a	adhesion_molecules	0	OK		4	67,120,551	13,424,110,200	/home/wueflo00/projects/rrg-glettre/sequencing_datastore/raw_data/CRISPR_Endoscreen_20180913	/home/wueflo00/projects/rrg-glettre/sequencing_datastore/analyses/CRISPR_Endoscreen_20180913/QC	99.677	MPS12343392-H05	4824	Illumina HiSeq 4000 PE100	NGS-Lib-Rev -4	143.42	Old	N		pass
HI.4824.004.NGS-Lib-Rev--5.VP64_Top_SELE	/home/wueflo00/projects/rrg-glettre/sequencing_datastore/raw_data/CRISPR_Endoscreen_20180913/include_in_final_analysis/HI.4824.004.NGS-Lib-Rev--5.VP64_Top_SELE_R1.fastq.gz	HI	4824	004	NGS-Lib-Rev--5	VP64	Top	SELE	R1	fastq	43939335	26779598	0.6095	8051	3	0.06325	0	1	1	1	0	HI.4824.004.NGS-Lib-Rev--5.VP64_Top_SELE_R1.fastq.gz	Endosreen_29aout18_3screens	1	VP64_Top_SELE	2018-09-14	Y	VP64	Top	SELE	r1	endo_2a	adhesion_molecules	0	OK		4	43,939,335	8,787,867,000	/home/wueflo00/projects/rrg-glettre/sequencing_datastore/raw_data/CRISPR_Endoscreen_20180913	/home/wueflo00/projects/rrg-glettre/sequencing_datastore/analyses/CRISPR_Endoscreen_20180913/QC	99.605	MPS12343392-C05	4824	Illumina HiSeq 4000 PE100	NGS-Lib-Rev -5	9.74	Old	N		pass
HI.4824.004.NGS-Lib-Rev--6.VP64_Bottom_SELE	/home/wueflo00/projects/rrg-glettre/sequencing_datastore/raw_data/CRISPR_Endoscreen_20180913/include_in_final_analysis/HI.4824.004.NGS-Lib-Rev--6.VP64_Bottom_SELE_R1.fastq.gz	HI	4824	004	NGS-Lib-Rev--6	VP64	Bottom	SELE	R1	fastq	51865953	30384098	0.5858	8051	6	0.06387	0	1	1	1	0	HI.4824.004.NGS-Lib-Rev--6.VP64_Bottom_SELE_R1.fastq.gz	Endosreen_29aout18_3screens	2	VP64_Bottom_SELE	2018-09-14	Y	VP64	Bottom	SELE	r1	endo_2a	adhesion_molecules	0	OK		4	51,865,953	10,373,190,600	/home/wueflo00/projects/rrg-glettre/sequencing_datastore/raw_data/CRISPR_Endoscreen_20180913	/home/wueflo00/projects/rrg-glettre/sequencing_datastore/analyses/CRISPR_Endoscreen_20180913/QC	99.699	MPS12343392-D05	4824	Illumina HiSeq 4000 PE100	NGS-Lib-Rev -6	10.47	Old	N		pass
HI.4934.001.NGS-Lib-Rev--1.Krab_Top_CD31_9	/home/wueflo00/projects/rrg-glettre/sequencing_datastore/raw_data/CRISPR_Endoscreen_20190122/HI.4934.001.NGS-Lib-Rev--1.Krab_Top_CD31_9_R1.fastq.gz	HI	4934	001	NGS-Lib-Rev--1	Krab	Top	CD31	9	fastq	10235928	6064130	0.5924	8051	39	0.08961	0	1	1	1	0	HI.4934.001.NGS-Lib-Rev--1.Krab_Top_CD31_9_R1.fastq.gz	Projet Endoscreen	9	Krab_Top_CD31_9	2019-01-22	Y	KRAB	Top	CD31	r2	endo_1b	adhesion_molecules	1	OK		1	10,235,928	1,023,592,800	/home/wueflo00/projects/rrg-glettre/sequencing_datastore/raw_data/CRISPR_Endoscreen_20190122	/home/wueflo00/projects/rrg-glettre/sequencing_datastore/analyses/CRISPR_Endoscreen_20190122/QC	99.601	mps12343549-D10	4934	Illumina HiSeq 4000 SR100	NGS-Lib-Rev -1	2.89	Old	N		pass
HI.4934.001.NGS-Lib-Rev--2.Krab_bottom_CD31_10	/home/wueflo00/projects/rrg-glettre/sequencing_datastore/raw_data/CRISPR_Endoscreen_20190122/HI.4934.001.NGS-Lib-Rev--2.Krab_bottom_CD31_10_R1.fastq.gz	HI	4934	001	NGS-Lib-Rev--2	Krab	bottom	CD31	10	fastq	21551142	11719356	0.5438	8051	17	0.07748	0	1	1	1	0	HI.4934.001.NGS-Lib-Rev--2.Krab_bottom_CD31_10_R1.fastq.gz	Projet Endoscreen	10	Krab_bottom_CD31_10	2019-01-22	Y	KRAB	Bottom	CD31	r2	endo_1b	adhesion_molecules	1	OK		1	21,551,142	2,155,114,200	/home/wueflo00/projects/rrg-glettre/sequencing_datastore/raw_data/CRISPR_Endoscreen_20190122	/home/wueflo00/projects/rrg-glettre/sequencing_datastore/analyses/CRISPR_Endoscreen_20190122/QC	99.74	mps12343549-D10	4934	Illumina HiSeq 4000 SR100	NGS-Lib-Rev -2	2.73	Old	N		pass
HI.4934.001.NGS-Lib-Rev--3.Krab_Top_SELE_11	/home/wueflo00/projects/rrg-glettre/sequencing_datastore/raw_data/CRISPR_Endoscreen_20190122/HI.4934.001.NGS-Lib-Rev--3.Krab_Top_SELE_11_R1.fastq.gz	HI	4934	001	NGS-Lib-Rev--3	Krab	Top	SELE	11	fastq	26916783	13028070	0.484	8051	9	0.09024	0	1	1	1	0	HI.4934.001.NGS-Lib-Rev--3.Krab_Top_SELE_11_R1.fastq.gz	Projet Endoscreen	11	Krab_Top_SELE_11	2019-01-22	Y	KRAB	Top	SELE	r1	endo_1b	adhesion_molecules	1	OK		1	26,916,783	2,691,678,300	/home/wueflo00/projects/rrg-glettre/sequencing_datastore/raw_data/CRISPR_Endoscreen_20190122	/home/wueflo00/projects/rrg-glettre/sequencing_datastore/analyses/CRISPR_Endoscreen_20190122/QC	99.727	mps12343549-D10	4934	Illumina HiSeq 4000 SR100	NGS-Lib-Rev -3	0.58	Old	N		pass
HI.4934.001.NGS-Lib-Rev--4.Krab_bottom_SELE_12	/home/wueflo00/projects/rrg-glettre/sequencing_datastore/raw_data/CRISPR_Endoscreen_20190122/HI.4934.001.NGS-Lib-Rev--4.Krab_bottom_SELE_12_R1.fastq.gz	HI	4934	001	NGS-Lib-Rev--4	Krab	bottom	SELE	12	fastq	23291510	12712643	0.5458	8051	31	0.08011	0	1	1	1	0	HI.4934.001.NGS-Lib-Rev--4.Krab_bottom_SELE_12_R1.fastq.gz	Projet Endoscreen	12	Krab_bottom_SELE_12	2019-01-22	Y	KRAB	Bottom	SELE	r1	endo_1b	adhesion_molecules	1	OK		1	23,291,510	2,329,151,000	/home/wueflo00/projects/rrg-glettre/sequencing_datastore/raw_data/CRISPR_Endoscreen_20190122	/home/wueflo00/projects/rrg-glettre/sequencing_datastore/analyses/CRISPR_Endoscreen_20190122/QC	99.753	mps12343549-D10	4934	Illumina HiSeq 4000 SR100	NGS-Lib-Rev -4	3.93	Old	N		pass
HI.4934.001.NGS-Lib-Rev--5.VP64_bottom_CD31_7	/home/wueflo00/projects/rrg-glettre/sequencing_datastore/raw_data/CRISPR_Endoscreen_20190122/first_batch/rerun/HI.4934.001.NGS-Lib-Rev--5.VP64_bottom_CD31_7_R1.fastq.gz	HI	4934	001	NGS-Lib-Rev--5	VP64	bottom	CD31	7	fastq	53246257	26960704	0.5063	8051	2	0.06011	0	1	1	1	0	HI.4934.001.NGS-Lib-Rev--5.VP64_bottom_CD31_7_R1.fastq.gz	Projet Endoscreen	7	VP64_Top_CD31_7	2019-01-22	Y	VP64	Top	CD31	r1	endo_2a	adhesion_molecules	1	OK		1	53,246,257	5,324,625,700	/home/wueflo00/projects/rrg-glettre/sequencing_datastore/raw_data/CRISPR_Endoscreen_20190122	/home/wueflo00/projects/rrg-glettre/sequencing_datastore/analyses/CRISPR_Endoscreen_20190122/QC	99.825	mps12343549-D10	4934	Illumina HiSeq 4000 SR100	NGS-Lib-Rev -5	NA	Old	N		pass
HI.4934.001.NGS-Lib-Rev--6.VP64_Top_CD31_8	/home/wueflo00/projects/rrg-glettre/sequencing_datastore/raw_data/CRISPR_Endoscreen_20190122/first_batch/rerun/HI.4934.001.NGS-Lib-Rev--6.VP64_Top_CD31_8_R1.fastq.gz	HI	4934	001	NGS-Lib-Rev--6	VP64	Top	CD31	8	fastq	51040157	8291182	0.1624	8051	3	0.05945	0	1	1	1	0	HI.4934.001.NGS-Lib-Rev--6.VP64_Top_CD31_8_R1.fastq.gz	Projet Endoscreen	8	VP64_bottom_CD31_8	2019-01-22	Y	VP64	Bottom	CD31	r1	endo_2a	adhesion_molecules	1	OK		1	51,040,157	5,104,015,700	/home/wueflo00/projects/rrg-glettre/sequencing_datastore/raw_data/CRISPR_Endoscreen_20190122	/home/wueflo00/projects/rrg-glettre/sequencing_datastore/analyses/CRISPR_Endoscreen_20190122/QC	99.853	mps12343549-D10	4934	Illumina HiSeq 4000 SR100	NGS-Lib-Rev -6	NA	Old	N		pass
HI.4934.002.NGS-Lib-Rev--1.Cas_Top_CD31_13	/home/wueflo00/projects/rrg-glettre/sequencing_datastore/raw_data/CRISPR_Endoscreen_20190122/HI.4934.002.NGS-Lib-Rev--1.Cas_Top_CD31_13_R1.fastq.gz	HI	4934	002	NGS-Lib-Rev--1	Cas	Top	CD31	13	fastq	26461619	13549715	0.5121	8051	17	0.08216	0	1	1	1	0	HI.4934.002.NGS-Lib-Rev--1.Cas_Top_CD31_13_R1.fastq.gz	Projet Endoscreen	13	Cas_Top_CD31_13	2019-01-22	Y	CAS9	Top	CD31	r1	endo_1b	adhesion_molecules	1	OK		2	26,461,619	2,646,161,900	/home/wueflo00/projects/rrg-glettre/sequencing_datastore/raw_data/CRISPR_Endoscreen_20190122	/home/wueflo00/projects/rrg-glettre/sequencing_datastore/analyses/CRISPR_Endoscreen_20190122/QC	99.729	mps12343549-E10	4934	Illumina HiSeq 4000 SR100	NGS-Lib-Rev -1	1.14	Old	N		pass
HI.4934.002.NGS-Lib-Rev--2.Cas_bottom_CD31_14	/home/wueflo00/projects/rrg-glettre/sequencing_datastore/raw_data/CRISPR_Endoscreen_20190122/HI.4934.002.NGS-Lib-Rev--2.Cas_bottom_CD31_14_R1.fastq.gz	HI	4934	002	NGS-Lib-Rev--2	Cas	bottom	CD31	14	fastq	33570904	18865002	0.5619	8051	19	0.07891	0	1	1	1	0	HI.4934.002.NGS-Lib-Rev--2.Cas_bottom_CD31_14_R1.fastq.gz	Projet Endoscreen	14	Cas_bottom_CD31_14	2019-01-22	Y	CAS9	Bottom	CD31	r1	endo_1b	adhesion_molecules	1	OK		2	33,570,904	3,357,090,400	/home/wueflo00/projects/rrg-glettre/sequencing_datastore/raw_data/CRISPR_Endoscreen_20190122	/home/wueflo00/projects/rrg-glettre/sequencing_datastore/analyses/CRISPR_Endoscreen_20190122/QC	99.788	mps12343549-E10	4934	Illumina HiSeq 4000 SR100	NGS-Lib-Rev -2	3.75	Old	N		pass
HI.4934.002.NGS-Lib-Rev--4.Cas_bottom_SELE_16	/home/wueflo00/projects/rrg-glettre/sequencing_datastore/raw_data/CRISPR_Endoscreen_20190122/HI.4934.002.NGS-Lib-Rev--4.Cas_bottom_SELE_16_R1.fastq.gz	HI	4934	002	NGS-Lib-Rev--4	Cas	bottom	SELE	16	fastq	53123533	28491587	0.5363	8051	22	0.07216	0	1	1	1	0	HI.4934.002.NGS-Lib-Rev--4.Cas_bottom_SELE_16_R1.fastq.gz	Projet Endoscreen	16	Cas_bottom_SELE_16	2019-01-22	Y	CAS9	Bottom	SELE	r1	endo_1b	adhesion_molecules	1	OK		2	53,123,533	5,312,353,300	/home/wueflo00/projects/rrg-glettre/sequencing_datastore/raw_data/CRISPR_Endoscreen_20190122	/home/wueflo00/projects/rrg-glettre/sequencing_datastore/analyses/CRISPR_Endoscreen_20190122/QC	99.819	mps12343549-E10	4934	Illumina HiSeq 4000 SR100	NGS-Lib-Rev -4	5.14	Old	N		pass
HI.4934.002.NGS-Lib-Rev--7.VP64_Top_SELE_17	/home/wueflo00/projects/rrg-glettre/sequencing_datastore/raw_data/CRISPR_Endoscreen_20190122/first_batch/rerun/HI.4934.002.NGS-Lib-Rev--7.VP64_Top_SELE_17_R1.fastq.gz	HI	4934	002	NGS-Lib-Rev--7	VP64	Top	SELE	17	fastq	30629875	2258965	0.07375	8051	19	0.0919	0	1	1	1	0	HI.4934.002.NGS-Lib-Rev--7.VP64_Top_SELE_17_R1.fastq.gz	Projet Endoscreen	17	VP64_Top_SELE_17	2019-01-22	Y	VP64	Top	SELE	r2	endo_2b	adhesion_molecules	1	OK		2	30,629,875	3,062,987,500	/home/wueflo00/projects/rrg-glettre/sequencing_datastore/raw_data/CRISPR_Endoscreen_20190122	/home/wueflo00/projects/rrg-glettre/sequencing_datastore/analyses/CRISPR_Endoscreen_20190122/QC	99.814	mps12343549-E10	4934	Illumina HiSeq 4000 SR100	NGS-Lib-Rev -7	NA	Old	N		pass
HI.4934.002.NGS-Lib-Rev--8.VP64_bottom_SELE_18	/home/wueflo00/projects/rrg-glettre/sequencing_datastore/raw_data/CRISPR_Endoscreen_20190122/first_batch/rerun/HI.4934.002.NGS-Lib-Rev--8.VP64_bottom_SELE_18_R1.fastq.gz	HI	4934	002	NGS-Lib-Rev--8	VP64	bottom	SELE	18	fastq	33724763	2748460	0.0815	8051	13	0.09351	0	1	1	1	0	HI.4934.002.NGS-Lib-Rev--8.VP64_bottom_SELE_18_R1.fastq.gz	Projet Endoscreen	17	VP64_bottom_SELE_18	2019-01-22	Y	VP64	Bottom	SELE	r2	endo_2b	adhesion_molecules	1	OK		2	33,724,763	3,372,476,300	/home/wueflo00/projects/rrg-glettre/sequencing_datastore/raw_data/CRISPR_Endoscreen_20190122	/home/wueflo00/projects/rrg-glettre/sequencing_datastore/analyses/CRISPR_Endoscreen_20190122/QC	99.832	mps12343549-E10	4934	Illumina HiSeq 4000 SR100	NGS-Lib-Rev -8	NA	Old	N		pass
HI.4934.003.NGS-Lib-Rev--1.Cas_Top_CD31_19	/home/wueflo00/projects/rrg-glettre/sequencing_datastore/raw_data/CRISPR_Endoscreen_20190122/HI.4934.003.NGS-Lib-Rev--1.Cas_Top_CD31_19_R1.fastq.gz	HI	4934	003	NGS-Lib-Rev--1	Cas	Top	CD31	19	fastq	13577254	8276417	0.6096	8051	17	0.07843	0	1	1	1	0	HI.4934.003.NGS-Lib-Rev--1.Cas_Top_CD31_19_R1.fastq.gz	Projet Endoscreen	19	Cas_Top_CD31_19	2019-01-22	Y	CAS9	Top	CD31	r2	endo_1a	adhesion_molecules	1	OK		3	13,577,254	1,357,725,400	/home/wueflo00/projects/rrg-glettre/sequencing_datastore/raw_data/CRISPR_Endoscreen_20190122	/home/wueflo00/projects/rrg-glettre/sequencing_datastore/analyses/CRISPR_Endoscreen_20190122/QC	99.586	mps12343549-F10	4934	Illumina HiSeq 4000 SR100	NGS-Lib-Rev -1	2.39	Old	N		pass
HI.4934.003.NGS-Lib-Rev--2.Cas_bottom_CD31_20	/home/wueflo00/projects/rrg-glettre/sequencing_datastore/raw_data/CRISPR_Endoscreen_20190122/HI.4934.003.NGS-Lib-Rev--2.Cas_bottom_CD31_20_R1.fastq.gz	HI	4934	003	NGS-Lib-Rev--2	Cas	bottom	CD31	20	fastq	26267152	13892813	0.5289	8051	19	0.07755	0	1	1	1	0	HI.4934.003.NGS-Lib-Rev--2.Cas_bottom_CD31_20_R1.fastq.gz	Projet Endoscreen	20	Cas_bottom_CD31_20	2019-01-22	Y	CAS9	Bottom	CD31	r2	endo_1a	adhesion_molecules	1	OK		3	26,267,152	2,626,715,200	/home/wueflo00/projects/rrg-glettre/sequencing_datastore/raw_data/CRISPR_Endoscreen_20190122	/home/wueflo00/projects/rrg-glettre/sequencing_datastore/analyses/CRISPR_Endoscreen_20190122/QC	99.715	mps12343549-F10	4934	Illumina HiSeq 4000 SR100	NGS-Lib-Rev -2	0.73	Old	N		pass
HI.4934.003.NGS-Lib-Rev--3.Cas_Top_SELE_21	/home/wueflo00/projects/rrg-glettre/sequencing_datastore/raw_data/CRISPR_Endoscreen_20190122/HI.4934.003.NGS-Lib-Rev--3.Cas_Top_SELE_21_R1.fastq.gz	HI	4934	003	NGS-Lib-Rev--3	Cas	Top	SELE	21	fastq	19669384	11152609	0.567	8051	25	0.07702	0	1	1	1	0	HI.4934.003.NGS-Lib-Rev--3.Cas_Top_SELE_21_R1.fastq.gz	Projet Endoscreen	18	Cas_Top_SELE_21	2019-01-22	Y	CAS9	Top	SELE	r2	endo_1a	adhesion_molecules	1	OK		3	19,669,384	1,966,938,400	/home/wueflo00/projects/rrg-glettre/sequencing_datastore/raw_data/CRISPR_Endoscreen_20190122	/home/wueflo00/projects/rrg-glettre/sequencing_datastore/analyses/CRISPR_Endoscreen_20190122/QC	99.702	mps12343549-F10	4934	Illumina HiSeq 4000 SR100	NGS-Lib-Rev -3	0.72	Old	N		pass
HI.4934.003.NGS-Lib-Rev--4.Cas_bottom_SELE_22	/home/wueflo00/projects/rrg-glettre/sequencing_datastore/raw_data/CRISPR_Endoscreen_20190122/HI.4934.003.NGS-Lib-Rev--4.Cas_bottom_SELE_22_R1.fastq.gz	HI	4934	003	NGS-Lib-Rev--4	Cas	bottom	SELE	22	fastq	17859406	9727961	0.5447	8051	25	0.07978	0	1	1	1	0	HI.4934.003.NGS-Lib-Rev--4.Cas_bottom_SELE_22_R1.fastq.gz	Projet Endoscreen	21	Cas_bottom_SELE_22	2019-01-22	Y	CAS9	Bottom	SELE	r2	endo_1a	adhesion_molecules	1	OK		3	17,859,406	1,785,940,600	/home/wueflo00/projects/rrg-glettre/sequencing_datastore/raw_data/CRISPR_Endoscreen_20190122	/home/wueflo00/projects/rrg-glettre/sequencing_datastore/analyses/CRISPR_Endoscreen_20190122/QC	99.68	mps12343549-F10	4934	Illumina HiSeq 4000 SR100	NGS-Lib-Rev -4	1.77	Old	N		pass
HI.4934.004.NGS-Lib-Rev--1.Krab_Top_CD31_25	/home/wueflo00/projects/rrg-glettre/sequencing_datastore/raw_data/CRISPR_Endoscreen_20190122/HI.4934.004.NGS-Lib-Rev--1.Krab_Top_CD31_25_R1.fastq.gz	HI	4934	004	NGS-Lib-Rev--1	Krab	Top	CD31	25	fastq	29534932	17172173	0.5814	8051	11	0.07617	0	1	1	1	0	HI.4934.004.NGS-Lib-Rev--1.Krab_Top_CD31_25_R1.fastq.gz	Projet Endoscreen	25	Krab_Top_CD31_25	2019-01-22	Y	KRAB	Top	CD31	r3	endo_1c	adhesion_molecules	1	OK		4	29,534,932	2,953,493,200	/home/wueflo00/projects/rrg-glettre/sequencing_datastore/raw_data/CRISPR_Endoscreen_20190122	/home/wueflo00/projects/rrg-glettre/sequencing_datastore/analyses/CRISPR_Endoscreen_20190122/QC	99.743	mps12343549-G10	4934	Illumina HiSeq 4000 SR100	NGS-Lib-Rev -1	0.81	Old	N		pass
